Year,DVR,ResTOU_shift,ResTOU_shed
2022.0,10732648.306350397,0.0,6775112.05387916
2023.0,21332633.465358917,0.0,13446481.475252539
2024.0,32128295.263364386,1.7462298274040222e-10,20552114.285998654
2025.0,43216572.818479106,-5.820766091346741e-11,20858921.21507756
2026.0,53349314.99218423,5.820766091346741e-10,20327311.660164546
2027.0,55151763.016853444,-1.1641532182693481e-10,21432197.65291492
2028.0,54952190.31425596,1.1641532182693481e-10,21481715.142617404
2029.0,54167707.52021058,-5.238689482212067e-10,20890827.10731822
2030.0,53902969.9496195,-2.9103830456733704e-10,20536550.13356198
2031.0,54952701.382886864,-2.3283064365386963e-10,21145475.775277536
2032.0,56438828.692156814,0.0,22055108.36984144
2033.0,55307096.7125269,-1.1641532182693481e-10,21273936.839116734
2034.0,56895239.340787366,-1.1641532182693481e-10,22124592.306219704
2035.0,58066273.946888074,1.1641532182693481e-10,22844610.675107703
2036.0,57966258.60071419,-3.4924596548080444e-10,22537686.654078927
2037.0,56895006.42885714,-1.1641532182693481e-10,21770790.35665284
2038.0,58074402.78042882,1.1641532182693481e-10,22409420.74348951
2039.0,57632767.12732895,1.1641532182693481e-10,21888604.827386513
2040.0,59073519.20400759,0.0,22670923.375118807
2041.0,59642540.96520554,1.1641532182693481e-10,22757054.337547608
