Year,DVR,ResTOU_shift,ResTOU_shed
2022.0,2707030.9736373005,-9.094947017729282e-13,750947.4555868928
2023.0,5380601.123937812,1.0913936421275139e-11,1490396.169116597
2024.0,8103525.609483667,-1.4551915228366852e-11,2277978.25442091
2025.0,10900254.797770076,3.637978807091713e-12,2311984.4643427553
2026.0,13455975.07566932,-1.8189894035458565e-11,2253061.3292782903
2027.0,13910595.640126264,-1.4551915228366852e-11,2375525.9200291433
2028.0,13860258.624321485,2.546585164964199e-11,2381014.39499508
2029.0,13662393.27355714,1.0913936421275139e-11,2315520.88535038
2030.0,13595620.117200987,-3.637978807091713e-12,2276253.13746672
2031.0,13860387.528071433,3.637978807091713e-12,2343745.9195272177
2032.0,14235224.431520663,3.637978807091713e-12,2444568.795514274
2033.0,13949774.518762289,-1.0913936421275139e-11,2357984.4307525475
2034.0,14350342.129154494,7.275957614183426e-12,2452270.3338523065
2035.0,14645705.105694046,0.0,2532076.535992193
2036.0,14620478.839799209,-3.637978807091713e-12,2498057.347701707
2037.0,14350283.383186944,-7.275957614183426e-12,2413055.237231609
2038.0,14647755.392216645,3.637978807091713e-12,2483840.467090779
2039.0,14536364.302349618,0.0,2426113.689449844
2040.0,14899756.485301672,0.0,2512825.1885669157
2041.0,15043277.402811395,3.637978807091713e-12,2522371.868617191
