Year,NRIrrLg,NRIrrSmMed,DVR,IndRTP,ResCPP,ComCPP,IndCPP
2022.0,382968.6342870326,451355.8904097171,345741.87828265,0.0,310796.4199665944,164734.64314307124,140117.81873398606
2023.0,775754.8338693748,914282.4827746204,687210.1416632137,0.0,616833.8280490609,327181.7172977267,282045.23019416444
2024.0,1219022.322567396,1436704.8801687171,1034981.938595959,0.0,933364.3867607596,488464.16822682926,427010.12851422984
2025.0,1659371.6895308106,1955688.0626613125,1392180.0689545549,0.0,1263063.8345347154,651113.8169432748,575241.659860722
2026.0,2099682.306294343,2474625.5752754756,1718596.5517547745,0.0,1538591.8060272867,815261.6616415051,723844.1982853103
2027.0,2122461.3364547547,2501472.2893931037,2131992.804582705,0.0,1622221.5827267542,825056.8302838672,725883.9654447882
2028.0,2153745.4222094323,2538342.8190325447,2478324.2806210984,0.0,1625969.6043631122,813892.4541792888,726597.3924744404
2029.0,2180886.2348337015,2570330.205339719,2791936.4400261426,0.0,1581244.7777559361,814926.5051017636,727032.380942882
2030.0,2222162.2390690893,2618976.9246171406,3125577.6187002957,0.0,1554429.2471044483,823154.0940700623,728255.8758732779
2031.0,2255113.310268866,2657812.11567402,3540496.18519282,0.0,1600519.3557467768,830193.7788606719,730949.9717991247
2032.0,2284948.919911892,2692975.5127533027,3636244.49122277,0.0,1669370.2338111927,838213.5461524862,732572.67675911
2033.0,2319976.2840607986,2734257.7633573697,3563329.190323873,0.0,1610242.6848087243,835988.1639577545,732480.148426706
2034.0,2356807.145203039,2777665.5639892966,3665650.1458983934,0.0,1674629.5330707019,851644.2465864291,731915.7787508566
2035.0,2407729.8140866603,2837681.566602135,3741097.638947744,0.0,1729128.3463462018,857556.2176272662,732585.229422319
2036.0,2451154.5691478606,2888860.742209979,3734653.8437806577,0.0,1705897.0016547518,869498.5774717666,734615.6102277777
2037.0,2493616.2477289927,2938904.8633948844,3665635.139833548,0.0,1647849.9574110813,868032.9954520839,738164.9801300139
2038.0,2539584.9783979217,2993082.2959689787,3741621.363958832,0.0,1696188.4439111196,878421.8999103316,740740.945078448
2039.0,2587248.1785341403,3049256.781843808,3713167.633647183,0.0,1656767.436629816,888766.618139574,741787.596938172
2040.0,2641907.3115916112,3113676.474375828,3805992.501268302,0.0,1715981.8043419486,901682.9549333035,743356.7240137216
2041.0,2697372.7940604617,3179046.507285543,3842653.471959735,0.0,1722501.131405639,918459.5810313657,744655.0433047077
