,Year,DVR,ResTOU_shift,ResTOU_shed
0,2022.0,14896.70621118771,-6792.728269786679,9110.317907597375
1,2023.0,28673.36901831784,-12236.71049320474,17509.61535183745
2,2024.0,42981.03180071531,-17534.52652588576,26636.634781766
3,2025.0,51518.59852294907,-16175.180540721722,24090.136231598066
4,2026.0,53917.81157338958,-14303.46287558603,19902.931592743163
5,2027.0,51889.40438437945,-15400.0557846185,19535.28208572576
6,2028.0,43513.07351118939,-14069.064034371755,16479.24845379255
7,2029.0,45068.866562648276,-14067.302817182714,16839.35723998519
8,2030.0,43756.2372358798,-13831.11610314367,16150.592468358189
9,2031.0,42937.237151782916,-13981.540048467636,16006.493618642076
10,2032.0,42642.90854004938,-13784.48791473291,16144.021162643934
11,2033.0,45356.7826473459,-14351.455407993295,16902.188472055248
12,2034.0,42148.068798813016,-13518.847791475491,15878.545704270518
13,2035.0,41732.6718816314,-13402.638579660845,15906.319015525118
14,2036.0,46697.40022177271,-14611.78499209037,17589.782305678014
15,2037.0,41971.1063064991,-12875.428333247371,15559.088711811362
16,2038.0,43050.60945538772,-13324.622259086864,16093.810287813485
17,2039.0,47301.26467327994,-14439.157222569183,17404.239717712822
18,2040.0,37608.14790523916,-11751.705459174615,13982.73112044506
19,2041.0,39348.43629429751,-12143.861663368949,14545.246389464144
