,Year,DVR,ResTOU_shift,ResTOU_shed
0,2022.0,15984.4325110428,908.1178687236421,10090.363374331962
1,2023.0,30828.503460383457,1728.1010659621322,19431.96096079507
2,2024.0,39580.03634907267,-741.6752793831332,25318.910443956735
3,2025.0,49845.2785450347,-1130.372928061065,24058.333882271618
4,2026.0,55309.426124760714,-438.11511615224055,21074.158923082123
5,2027.0,54959.33019140248,-1199.9522285189848,21357.417480453092
6,2028.0,48654.81472812312,-3127.2135468971915,19019.967435860675
7,2029.0,47217.4525284806,-2270.5588644685686,18210.326454233866
8,2030.0,43700.61813168473,-2883.9189144935567,16649.545209991276
9,2031.0,45798.63651388188,-4194.527024078172,17623.045538696955
10,2032.0,42675.7403667951,-4710.418559841752,16676.78263995727
11,2033.0,41519.75518241575,-4329.8952094332735,15970.620441666395
12,2034.0,42506.16307483325,-4933.877747954861,16529.17782627543
13,2035.0,44012.109604402176,-4520.136469658049,17315.37845570028
14,2036.0,47458.36127326311,-4829.706565181762,18452.14270012762
15,2037.0,48392.0003642471,-4138.066381759578,18517.127617982656
16,2038.0,47361.63321698035,-4356.89455711563,18275.638061590485
17,2039.0,50960.20997466019,-3078.9135457638126,19354.404684258894
18,2040.0,38976.21094841557,-4656.2763785875395,14958.084498274657
19,2041.0,41617.233345654495,-2731.8423810159693,15879.364381507008
