,Year,NRCurtailCom,NRCurtailInd,ResTOU,NRCoolSwchMed,ResBYOT
0,2022.0,-43.272759765125336,-204.2398770265338,-240.7979052483174,-45.28026227853026,-67.64690417068685
1,2023.0,-74.7970305271671,-357.79280813852137,-415.92071861436716,-79.91117428470908,-118.86907691293993
2,2024.0,-97.54359087515462,-473.17492589725657,-549.7488087402603,-105.95051279051775,-157.31902276685327
3,2025.0,-143.2817302634844,-702.4279029934105,-819.7968569533339,-157.30591630025862,-233.34052977353804
4,2026.0,-167.200006945037,-823.762252801855,-930.7000332299164,-185.65449064673135,-274.31038722963734
5,2027.0,-149.52081336183616,-729.9657914567322,-867.1116173162998,-166.75032062852802,-244.52463587365074
6,2028.0,-134.4859863668193,-666.2256722945242,-792.4456322847807,-154.31976728034198,-224.8912106526089
7,2029.0,-124.90391755830662,-618.3422033078327,-714.8316346282531,-145.3163332573399,-210.29710686877087
8,2030.0,-132.5249206270398,-650.6057928653213,-738.1326433724469,-155.0236677307542,-222.71410745886573
9,2031.0,-170.91734644898895,-835.0487666067332,-971.8844654047807,-200.96069687275028,-287.07462472103157
10,2032.0,-141.55633040088327,-686.5036575281492,-831.5231198487455,-167.3139918892395,-237.3395977601043
11,2033.0,-150.00156886900564,-729.3047630211345,-852.1853233934692,-180.63186844580346,-254.15140180402688
12,2034.0,-148.86371048572906,-709.9197378289468,-863.3689221186409,-178.51571299919542,-249.4377506641317
13,2035.0,-129.07707327369263,-611.8742625488678,-767.6456313117735,-156.36083638952545,-216.40572178043504
14,2036.0,-115.02660568115749,-539.2710413202693,-665.6244668267807,-139.53343791121324,-191.57125467136166
15,2037.0,-168.3488404294765,-794.4102725977178,-942.6242396598154,-207.84019666602336,-282.81787081134644
16,2038.0,-181.1358612604158,-847.5886945661236,-1031.6263552084795,-224.63834692745576,-302.8165666471997
17,2039.0,-170.94280275196706,-791.6991373254928,-939.8784216246909,-213.30641413091888,-284.33878038990116
18,2040.0,-117.57311916585991,-537.8596592430898,-659.9543582404204,-146.81484897019106,-194.02716601832623
19,2041.0,-137.3623143715903,-617.988230349632,-759.8259281113885,-170.94494620128796,-223.98747656304167
