,Year,NRTstatSm,ResERWHDLCSwch,ResERWHDLCGrd
0,2022.0,-24.34500629521646,-14.451662169735023,-0.760613798407106
1,2023.0,-42.682763187697695,-81.20280969511303,-10.036302321867895
2,2024.0,-56.260739159418094,-240.86828645845227,-49.33446831076733
3,2025.0,-83.07765782762539,-195.5279382410829,-58.40444908499879
4,2026.0,-97.58889608248552,-149.50684356155705,-61.06617553922756
5,2027.0,-87.1815279632493,-168.34854946624154,-108.77906273203304
6,2028.0,-80.18116475628482,-203.98129313139725,-198.449597046478
7,2029.0,-74.96282112418032,-227.03760800018424,-322.1363796530915
8,2030.0,-79.4031990765334,-224.7096631931817,-456.112805715522
9,2031.0,-102.37836521948708,-188.58557531486008,-542.7584850525243
10,2032.0,-84.70294590660134,-130.96400989923416,-486.4377510542986
11,2033.0,-90.77933015856425,-193.07139263793752,-945.3840605030052
12,2034.0,-89.23924070882074,-136.64248066060395,-914.9105226840454
13,2035.0,-77.64915133042001,-76.5139628616463,-747.1363432372536
14,2036.0,-68.88061796645178,-49.35016632686096,-559.3018850377573
15,2037.0,-101.94457010079634,-95.83975030753615,-1086.1838368187425
16,2038.0,-109.43414350013474,-74.70327979077327,-846.6371709620971
17,2039.0,-103.1402164264714,-68.91291575040749,-781.0130451712846
18,2040.0,-70.61110325199583,-20.00315653575359,-226.7024407385407
19,2041.0,-81.66878683374503,-53.67426617683684,-608.3083500041507
