Report_Hour,Baseline Emissions Rate Estimate
1,0.9783943570892483
2,0.9934758424364201
3,0.9960353843164447
4,1.0069007577714346
5,1.003351950692804
6,0.9836032031377463
7,0.8232835919207672
8,0.690424716865255
9,0.5266742642161961
10,0.501520242691712
11,0.508966170237816
12,0.5307101902042
13,0.5342021097472929
14,0.5376134141648032
15,0.5428055970331714
16,0.5508127857376117
17,0.5702520057227589
18,0.5684353618256509
19,0.5966973183305359
20,0.7206143442892382
21,0.8326070746415795
22,0.8487780603649041
23,0.8232287779349171
24,0.8839987340969787
