Report_Hour,Baseline Emissions Rate Estimate
1,1.0809231158237047
2,1.10506592369815
3,1.1202436016288597
4,1.1462501916396626
5,1.1578853148039616
6,1.127430609863249
7,1.1071871496161472
8,1.033908754564169
9,0.9431081615842313
10,0.8733381285126348
11,0.8238584295855619
12,0.7656582366913847
13,0.7546046194986267
14,0.7479698671383219
15,0.7638184062348247
16,0.8094519474055188
17,0.9604816699036457
18,1.0432098156548057
19,1.1056659178140527
20,1.1158028196682162
21,1.1044726464510946
22,1.0039169010789077
23,0.9734460249882849
24,1.0497758517684939
