Report_Hour,Baseline Emissions Rate Estimate
1,1.1584729483267748
2,1.2118293939137244
3,1.2269695880942362
4,1.250925640807497
5,1.2543538163532026
6,1.1621008523723297
7,1.1562019050725258
8,1.2283375952865614
9,1.0574002915453797
10,1.0085747639103955
11,0.9307342835022526
12,0.833765946595919
13,0.8251443652773014
14,0.7849286165723168
15,0.824151005407896
16,0.9196008341283021
17,1.2162030081868986
18,1.2104238150660847
19,1.1945513977274103
20,1.1660001100482256
21,1.1432873639411583
22,1.0526887090345787
23,1.0281053878001927
24,1.1696968261350271
