,Report_Hour,Emissions Rate Estimate,Season
0,1,0.6463851858961732,winter
1,2,0.6631771741289935,winter
2,3,0.681554625966287,winter
3,4,0.7034041502126491,winter
4,5,0.6993122350386946,winter
5,6,0.7118926665318448,winter
6,7,0.7568686309924109,winter
7,8,0.6562755935758217,winter
8,9,0.4626646162703834,winter
9,10,0.43115512414569135,winter
10,11,0.4277082946306425,winter
11,12,0.4258210896435726,winter
12,13,0.41496251268766315,winter
13,14,0.41519068623179106,winter
14,15,0.4174743589231357,winter
15,16,0.42582252230621365,winter
16,17,0.45645012761127346,winter
17,18,0.4636146624891638,winter
18,19,0.5056801348456815,winter
19,20,0.5554273479547022,winter
20,21,0.6981140730705149,winter
21,22,0.7134601482089882,winter
22,23,0.6757158647455371,winter
23,24,0.6824435076412021,winter
