,Year,DVR,ResTOU_shift,ResTOU_shed
0,2022.0,13875.13664747857,-5552.728976603038,8485.560772820414
1,2023.0,25591.02606957427,-10122.799086016925,15627.35870524424
2,2024.0,32102.059127508866,-14078.69801767887,19894.609061197098
3,2025.0,39205.92703683097,-13733.326025674656,18332.721589517492
4,2026.0,36413.424195023654,-10788.653147534302,13441.455980175153
5,2027.0,43078.88851942519,-12368.078813815539,16218.306013546051
6,2028.0,32944.26062970771,-10677.810074353454,12476.63316414189
7,2029.0,34091.33471787094,-10350.781436241261,12737.754638318675
8,2030.0,28650.939001334074,-8333.612353037077,10575.169824403938
9,2031.0,29368.42466744543,-8678.157346418395,10948.200983851986
10,2032.0,30400.916682352636,-8740.021430265531,11509.370703987808
11,2033.0,28732.199495628443,-8477.772482863005,10707.043638162904
12,2034.0,24696.22384013595,-7068.558909357918,9303.869196007798
13,2035.0,26814.50874151719,-7667.132430804174,10220.292903769045
14,2036.0,26318.974781734785,-7608.479070200336,9913.721850054855
15,2037.0,24081.55295440019,-6553.144127710048,8927.260958991601
16,2038.0,22805.604358341705,-6213.6021418914415,8525.52553111767
17,2039.0,24235.06119166898,-6668.305790100811,8917.15723599908
18,2040.0,17644.498985311402,-4909.509029877996,6560.234917396846
19,2041.0,20473.25041249283,-5739.942213425694,7567.98743959396
