,Year,NRCurtailCom,NRCurtailInd,ResTOU,NRHeatSwchMed,ResBYOT
0,2022.0,-40.656031865807506,-193.9559668846172,-111.04895031613789,-16.1789150100391,-51.972394487605726
1,2023.0,-69.34033382524846,-335.26281594149833,-189.2620261518805,-28.274998351995954,-90.09476028155949
2,2024.0,-83.77513924581679,-410.76208721977946,-231.75658074286648,-34.808811733544054,-110.4424095708833
3,2025.0,-103.58566242580766,-513.2899905771594,-290.9152165503153,-43.583796152253726,-137.8663994361209
4,2026.0,-121.5714598367824,-605.4097879630781,-332.166957657205,-51.817355797947386,-162.97640258520602
5,2027.0,-105.63194306776721,-521.2527221058677,-300.6906897401492,-45.30051565133685,-141.13473921127468
6,2028.0,-120.57003075511562,-603.7204859392642,-348.72507303058046,-53.26661157548098,-164.69603345699716
7,2029.0,-103.22389325423399,-516.5177782894876,-289.9741590751297,-46.31047838196017,-141.9466915101585
8,2030.0,-120.23834294987859,-596.6443956146479,-328.7238392343831,-54.33868942522207,-165.01532783486516
9,2031.0,-117.34958071002278,-579.50801849811,-327.53777895718247,-53.38754451487665,-160.94286126414073
10,2032.0,-103.2559354218138,-506.1518110440061,-297.7223355949935,-47.31050774753046,-141.34823912603767
11,2033.0,-106.26730435966735,-522.2339755299066,-296.33931446910333,-49.67930753064837,-146.99014485711893
12,2034.0,-84.05062351410005,-405.1478707733853,-239.27640234999592,-39.18850675620694,-114.96758039953198
13,2035.0,-89.42217496283251,-428.4602284446238,-261.0407211913701,-42.19343153249829,-122.37781374017325
14,2036.0,-102.17266423897433,-484.1675996943819,-290.21312502516975,-48.35619704030995,-138.89547216817445
15,2037.0,-92.69868265821175,-442.14070009859506,-254.772996646698,-44.75009649969801,-127.11101143661853
16,2038.0,-76.73611506373351,-362.93824368684545,-214.52067521684435,-37.279641464399006,-104.70899471538675
17,2039.0,-93.90558048533804,-439.5952217520661,-253.43326517832412,-45.99635300403965,-127.4934442694923
18,2040.0,-43.737224546497416,-202.23874557313584,-120.50593599020928,-21.473882174363858,-58.91478943593259
19,2041.0,-70.62006787896847,-321.1389220282481,-191.74586145637414,-34.611882293078075,-93.99629387317754
