Report_Hour,Baseline Emissions Rate Estimate
1,0.8207977813955429
2,0.829086985011772
3,0.8324036856390978
4,0.861005365408397
5,0.8178861075312088
6,0.8520054398797992
7,0.8138694746504901
8,0.6973008142660935
9,0.6361168922622946
10,0.6147115784992699
11,0.5849400850401589
12,0.5301908069943416
13,0.5339078727622676
14,0.5466456495316708
15,0.5515466458427063
16,0.5869388098095605
17,0.654393787838026
18,0.7451268173448982
19,0.8967019913218044
20,0.945749631503717
21,0.9511259973885667
22,0.9068769842986406
23,0.7960316592706761
24,0.7438961401191115
