Report_Hour,Baseline Emissions Rate Estimate
1,1.2811164474649848
2,1.2997924897115563
3,1.30680878043878
4,1.3298209616360566
5,1.3844702716047095
6,1.3759290059297127
7,1.3115237275315978
8,1.06358243683274
9,1.0693846614074156
10,1.0139115073794762
11,0.94848018186138
12,0.9378852940605057
13,0.9316235603859515
14,0.9481467171601782
15,0.9670498110234529
16,1.025635712190704
17,1.1240314989414972
18,1.163918972086989
19,1.1686234275445035
20,1.216111255767258
21,1.2348005508718531
22,1.0842039557243353
23,1.1355752501741179
24,1.2458744582350654
