,Report_Hour,Baseline Emissions Rate Estimate
0,1,1.2947017191465524
1,2,1.3113974713281464
2,3,1.3068049814051983
3,4,1.3276740127881943
4,5,1.3933025980849643
5,6,1.3920389924815004
6,7,1.3481418006435308
7,8,1.071674477673051
8,9,1.0829801637843166
9,10,1.0108387677335695
10,11,0.949499743818699
11,12,0.9375387506203414
12,13,0.9244623765681114
13,14,0.9407454875905442
14,15,0.9633156251379528
15,16,1.0291985857979706
16,17,1.118215993110586
17,18,1.1742497426680623
18,19,1.1822843529072067
19,20,1.2327003086987562
20,21,1.2600172222011181
21,22,1.0991884840351693
22,23,1.151947068802266
23,24,1.2559419975498385
