,Report_Hour,Baseline Emissions Rate Estimate
0,1,1.0537578850857159
1,2,1.0663146880800738
2,3,1.0985365938199945
3,4,1.1298336529683857
4,5,1.173499699930879
5,6,1.1229928846366812
6,7,1.161164565090886
7,8,1.157129814601436
8,9,1.0065849148318375
9,10,0.8519411272742281
10,11,0.814116201996172
11,12,0.7551631158422765
12,13,0.7141638288034682
13,14,0.6994667680048808
14,15,0.6949608451518565
15,16,0.6961552143109534
16,17,0.8254369711437247
17,18,1.0353616202384777
18,19,1.1630887356298556
19,20,1.1200034891256
20,21,1.06905301617913
21,22,0.9552740220900984
22,23,0.9126598164131237
23,24,1.0301033141141858
