,Report_Hour,Baseline Emissions Rate Estimate
0,1,0.9091129321440584
1,2,0.935411653207764
2,3,0.9558341768344714
3,4,0.953130771477979
4,5,0.9111528102071716
5,6,0.8585039891722622
6,7,0.9318164916516862
7,8,0.744710384303165
8,9,0.5138383534211706
9,10,0.4840387005873613
10,11,0.48192836823175106
11,12,0.5003510095714075
12,13,0.5070080452422869
13,14,0.5114762708637001
14,15,0.5220861868059733
15,16,0.5404640586929023
16,17,0.5894878416358034
17,18,0.5887512400241615
18,19,0.6051151650176732
19,20,0.8930943616396936
20,21,0.9457583006790148
21,22,0.8540974108488768
22,23,0.8283561720084384
23,24,0.8743959049109596
